,coef,se,pval
Intercept,0.1251241337272224,2.493938729921447,0.9599858866481497
C(entry_quarter_str)[T.2021Q4],-3.142111228154802,1.9088910399642984,0.09975550017788794
C(entry_quarter_str)[T.2022Q1],2.079867598597826,5.207800138542972,0.6896165698702962
C(entry_quarter_str)[T.2022Q2],7.681910167622467,1.7106669589353962,7.102494095973181e-06
C(entry_quarter_str)[T.2022Q3],3.272291861569539,2.0275625544638682,0.10654819263737686
C(entry_quarter_str)[T.2022Q4],2.7623626778631443,2.0750099145702654,0.18310585610183394
C(entry_quarter_str)[T.2023Q1],1.5360102067425951,1.7878655171962294,0.39026839500163657
C(entry_quarter_str)[T.2023Q2],1.536628588086663,1.7587982350986076,0.3822920048384104
C(entry_quarter_str)[T.2023Q3],0.7728099916675398,1.764595525841612,0.6614203184794207
C(entry_quarter_str)[T.2023Q4],0.3670941979787924,1.7434148878688638,0.833230288023669
fit_init,-1.31811385348749,0.6705983919309888,0.04934730721452693
variability_init,1.725083601385709,1.5347570129111983,0.2610084046236968
activity_init,0.13620125296133284,0.23275509917370082,0.5584335545453163
reviews_init,0.2135710307694734,0.05758852549954782,0.00020843371722501297
price_init,0.7761634820358976,0.29186352082238787,0.007829458734392749
superhost_init,-0.9025053546434576,0.3920604326740465,0.021337727105350868
amenity_init,-0.007264608863026355,0.017361358735857715,0.6756287340393383
sentiment_init,1.9441108539344314,15.375709054580385,0.8993833215628425
