,coef,se,pval
Intercept,2.8217189598144894,3.4154505165226574,0.4087116148433535
C(entry_quarter_str)[T.2021Q2],-0.8377304945958707,1.3808478415262213,0.5440643905332276
C(entry_quarter_str)[T.2021Q3],3.5692100301799234,2.7234510141828534,0.19001092063009928
C(entry_quarter_str)[T.2021Q4],1.7921091100235451,1.3450338879524837,0.18273221096923276
C(entry_quarter_str)[T.2022Q1],-2.135088767186899,1.3329374274349965,0.10920156965746393
C(entry_quarter_str)[T.2022Q2],2.9590423853382433,1.7589420732295924,0.09251353111506894
C(entry_quarter_str)[T.2022Q3],1.7764285940616593,2.0858386677764207,0.3944019667943425
C(entry_quarter_str)[T.2022Q4],2.9709748302550154,1.717540863875254,0.08366886116773868
C(entry_quarter_str)[T.2023Q1],2.1747150207439914,1.1866218009177318,0.06684804419306908
C(entry_quarter_str)[T.2023Q2],2.6913458930626626,1.2292505577515915,0.028566319225183805
C(entry_quarter_str)[T.2023Q3],1.7859306362389724,1.168301124824861,0.12634972171155293
C(entry_quarter_str)[T.2023Q4],1.7000285067836265,1.1626692094992501,0.14369263485864026
fit_init,0.1301529463361558,0.9130419580920321,0.8866466131775257
variability_init,-4.474086619585511,2.423715378509565,0.06489771528031882
activity_init,0.1985121789992294,0.11965942639697139,0.09712052342213115
reviews_init,0.34189269600174677,0.0778216773818218,1.1165134240284701e-05
price_init,-0.16890149935290175,0.46449442664218754,0.716138516375354
superhost_init,-0.8141336305115315,0.4427450642674644,0.06593995365948144
amenity_init,0.011865661032198348,0.026377478715871094,0.6528253757679627
sentiment_init,12.984419882072668,15.506214745821026,0.4023853176372334
