,coef,se,pval,OR
Intercept,-0.9783872410105549,0.9298316379675396,0.29269872673220176,0.37591687355290715
C(period_qtr)[T.2022Q1],0.23596838274989523,0.982544893297166,0.8102059051520036,1.2661342778498983
C(period_qtr)[T.2022Q2],-0.41873749203947364,1.013068172677561,0.6793604968128875,0.6578768705180686
C(period_qtr)[T.2022Q3],0.10364481210375705,1.000288656192445,0.9174749604251807,1.109206408248777
C(period_qtr)[T.2022Q4],0.699237935956912,0.9191903959549863,0.4468299042086543,2.0122186835269256
C(period_qtr)[T.2023Q1],-1.4698628088164583,1.2640553007635422,0.24490445938886252,0.22995703110002413
C(period_qtr)[T.2023Q2],-0.7543381377486258,0.9394350643317217,0.42199209658495673,0.47032179998369955
C(period_qtr)[T.2023Q3],-2.0471931517266966,0.989984424346611,0.038649013151109024,0.129096750516803
C(period_qtr)[T.2023Q4],-2.6390913784945127,1.1264194864205148,0.019134366829736318,0.0714261394071716
C(period_qtr)[T.2024Q1],-0.17274376161815494,0.8386807881001112,0.8368137123204384,0.841353174202071
C(period_qtr)[T.2024Q2],-1.2939155217107317,0.8841705656006599,0.14335167512732844,0.27419506174173186
C(period_qtr)[T.2024Q3],-2.2365923966798755,1.007257129179338,0.02638633065696934,0.10682189152021476
C(period_qtr)[T.2024Q4],-1.4786111402561977,0.941874395212971,0.11644763521290362,0.22795406485579844
C(period_qtr)[T.2025Q1],-0.030544154064331957,0.8426292293993936,0.9710841113540426,0.969917605317388
pos_momentum_4q_lag,-0.2963056145969429,0.35102184090291677,0.3986006682176019,0.7435601504565935
n_reviews_qtr_lag,-0.08669336532008723,0.026272577564994935,0.000967653821531508,0.9169582237205629
platform_activity_lag,-0.03566525770225924,0.08067188117086142,0.6584148797197449,0.9649632534426207
sentiment_mean_qtr_lag,3.2806050103342073,4.035290718607891,0.4162303261458943,26.59185618184273
