,coef,se,pval,OR
Intercept,-0.9796546540566268,0.9260092207804981,0.2900865104167367,0.3754407333999852
C(period_qtr)[T.2022Q1],0.19607974078247473,0.9786176572091847,0.8411959183915791,1.2166239160094514
C(period_qtr)[T.2022Q2],-0.48198457721746313,1.0153825954764235,0.6350131328419204,0.6175565861321658
C(period_qtr)[T.2022Q3],0.033982502954459474,0.991698290323147,0.9726642575717952,1.0345665047125048
C(period_qtr)[T.2022Q4],0.6544628467183646,0.9150426411423781,0.4744690285034775,1.9241086984400129
C(period_qtr)[T.2023Q1],-1.5372873278153338,1.2497281014524517,0.21866062173874,0.21496343656280245
C(period_qtr)[T.2023Q2],-0.7989209249149354,0.9357211254058192,0.3932144949604317,0.44981408550152485
C(period_qtr)[T.2023Q3],-2.088216954042431,0.9898561823400718,0.034891400284612475,0.12390787239823
C(period_qtr)[T.2023Q4],-2.7202281046829024,1.1246076867167867,0.015570770363622484,0.0658597298000922
C(period_qtr)[T.2024Q1],-0.2662379321284954,0.8367086928475387,0.750335747405453,0.7662567887010403
C(period_qtr)[T.2024Q2],-1.4262908917297585,0.8835682008778745,0.10647543793696516,0.2401981931278762
C(period_qtr)[T.2024Q3],-2.3736543841798285,1.0033656290046076,0.01799639253034969,0.09313973522646227
C(period_qtr)[T.2024Q4],-1.636348456926617,0.9315153047114131,0.07897710096416335,0.19468966358856732
C(period_qtr)[T.2025Q1],-0.20205843856645092,0.8479984729522912,0.8116663445910866,0.8170471794811828
pos_momentum_4q_lag,-0.5660549026496452,0.4094397861126281,0.16681493436503225,0.567760898262757
neg_momentum_4q_lag,0.6810524020397322,0.4225925446275869,0.10704784768900541,1.9759561386497781
n_reviews_qtr_lag,-0.08741665243694452,0.02614698491645644,0.0008279476229187203,0.9162952394435456
platform_activity_lag,-0.03290470572461783,0.08056501801205079,0.682962245095438,0.9676307648682202
sentiment_mean_qtr_lag,3.251691251547549,4.027141211365761,0.419410690911419,25.833994774756924
